Suffix,City,Inhabitant_term,Country
an,Turkey , Turk,
an,Tuvalu , Tuvaluan,
an,Uganda , Ugandan,
an,United States , American,
an,Uruguay , Uruguayan,
an,Vanuatu , Vanuatuan,
an,Venezuela , Venezuelan,
an,Zambia , Zambian,
an,Zimbabwe , Zimbabwean,
an,Abkhazia , Abkhazian,
an,Alaska , Alaskan,
an,Alberta , Albertan,
an,Algarve , Algarvian,
an,Andalusia , Andalusian,
an,Arizona , Arizonan,
an,Arkansas , Arkansan,
an,Asturias , Asturian,
an,Bago Region , Bagoan,
an,Bangka Island , Bangkan,
an,Bavaria , Bavarian,
an,Bohemia , Bohemian,
an,Borneo , Bornean,
an,British Columbia , British Columbian,
an,Brittany , Breton,
an,California , Californian,
an,Canterbury , Cantabrian,
an,Carinthia , Carinthian,
an,Colorado , Coloradan,
an,Corsica , Corsican,
an,Crete , Cretan,
an,Crimea , Crimean,
an,Cumbria , Cumbrian,
an,Dalmatia , Dalmatian,
an,Delaware , Delawarean,
an,District of Columbia , Washingtonian,
an,Extremadura , Extremaduran,
an,Florida , Floridan,
an,Galicia , Galician,
an,Galilee , Galilean,
an,Gaza Strip , Gazan,
an,Hawaiʻi , Hawaiian,
an,Hebrides , Hebridean,
an,Idaho , Idahoan,
an,Illinois , Illinoisan,
an,Indiana , Hoosier,
an,Iowa , Iowan,
an,Jakarta , Jakartan,
an,Java , Javans,
an,Johor , Johorean,
an,Judea , Judean,
an,Kansas , Kansan,
an,Karelia , Karelian,
an,Kayah State , Kayahan,
an,Kedah , Kedahan,
an,Kentucky , Kentuckian,
an,Kerala , Keralit,
an,Khyber Pakhtunkhwa , Pathan,
an,Liguria , Ligurian,
an,Louisiana , Louisianan,
an,Madeira , Madeiran,
an,Malacca , Malaccan,
an,Majorca , Majorcan,
an,Mandalay , Mandalayan,
an,Manitoba , Manitoban,
an,Maryland , Marylander,
an,Masuria , Masurian,
an,Menorca , Menorcan,
an,Minnesota , Minnesotan,
an,Mississippi , Mississippian,
an,Missouri , Missourian,
an,Moluccas , Moluccan,
an,Montana , Montanan,
an,Moravia , Moravian,
an,Nebraska , Nebraskan,
an,Nevada , Nevadan,
an,New Jersey , New Jerseyan,
an,New Mexico , New Mexican,
an,Newfoundland, Newfoundlander,
an,Normandy , Norman,
an,North Dakota , North Dakotan,
an,Northwest Territories , Northwest Territorian,
an,Nova Scotia , Nova Scotian,
an,Ohio , Ohioan,
an,Oklahoma , Oklahoman,
an,Ontario , Ontarian,
an,Oregon , Oregonian,
an,Otago , Otagan,
an,Papua , Papuan,
an,Patagonia , Patagonian,
an,Pennsylvania , Pennsylvanian,
an,Pomerania , Pomeranian,
an,Samogitia , Samogitian,
an,Sabah , Sabahan,
an,Sardinia , Sardinians,
an,Saskatchewan , Saskatchewanians,
an,Silesia , Silesian,
an,Slavonia , Slavonian,
an,South Australia , South Australian,
an,South Dakota , South Dakotan,
an,Styria , Styrian,
an,Sumatra , Sumatran,
an,Sumba , Sumban,
an,Sumbawa , Sumbawan,
an,Syrmia , Syrmian,
an,Tahiti , Tahitian,
an,Tamil Nadu , Tamila,
an,Taranaki , Taranakian,
an,Tasmania , Tasmanians,
an,Tennessee , Tennessean,
an,Texas , Texan,
an,Thuringia , Thuringian,
an,Transnistria , Transnistrian,
an,Transylvania , Transylvanian,
an,Umbria , Umbrian,
an,Utah , Utahns,
an,Victoria , Victorian,
an,Virginia , Virginian,
an,Waikato , Waikatorian,
an,Wake Island , Wakean,
an,Wallachia , Wallachian,
an,Western Australia , Western Australian,
an,West Papua , West Papuan,
an,Westphalia , Westphalian,
an,Wisconsin , Wisconsinite,
an,Aberdeen , Aberdonian,
an,Adelaide , Adelaidean,
an,Alexandria , Alexandrian,
an,Albuquerque , Albuquerqueans,
an,Annapolis , Annapolitan,
an,Atlanta , Atlantan,
an,Baltimore , Baltimorean,
an,Bath , Bathonian,
an,Bristol , Bristolian,
an,Brockton , Brocktonian,
an,Bogotá , Bogotan,
an,Canberra , Canberran,
an,Charlotte , Charlottean,
an,Chattanooga , Chattanoogan,
an,Chicago , Chicagoan,
an,Cincinnati , Cincinnatian,
an,Clitheroe , Clitheronian,
an,Coimbatore , Coimbatoreian,
an,Coventry , Coventrian,
an,Danu , Danuan,
an,Derby , Derbeian,
an,Dundee , Dundonian,
an,El Paso , El Pasoan,
an,Galway , Galwegian,
an,Glasgow , Glaswegian,
an,Hanoi , Hanoian,
an,Hobart , Hobartian,
an,Indianapolis , Indianapolitan,
an,Istanbul , Istanbulite,
an,Izmir , Izmirian,
an,Kalamazoo , Kalamazooan,
an,Kyiv , Kyivan,
an,Kolkata , Calcuttan,
an,Las Vegas , Las Vegan,
an,Liverpool , Liverpudlian,
an,Madera , Maderan,
an,Manchester , Mancunian,
an,Manila , Manilans,
an,Mecca , Meccan,
an,Medina , Medinan,
an,Miami , Miamian,
an,Milwaukee , Milwaukeean,
an,Minneapolis , Minneapolitan,
an,Naypyidaw , Naypyidawan,
an,Ngawi city , Ngawian,
an,Oklahoma City , Oklahoma Cityan,
an,Ottawa , Ottawan,
an,Philadelphia , Philadelphian,
an,Pisa , Pisan,
an,Pueblo , Puebloan,
an,Regina , Reginan,
an,Riga , Rigan,
an,Rome , Roman,
an,Sacramento , Sacramentan,
an,Salem , Salemian,
an,San Antonio , San Antonian,
an,San Diego , San Diegan,
an,San Francisco , San Franciscan,
an,San Jose , San Josean,
an,Sarasota , Sarasotan,
an,Sioux City , Sioux Cityan,
an,Springville , Springvillian,
an,Sofia , Sofian,
an,St. Louis , St. Louisan,
an,Surabaya , Surabayan,
an,Tauranga , Taurangian,
an,Thebes , Theban,
an,"Toledo, Ohio ", Toledoan,
an,Tucson ,Tucsonan,
an,Tulsa , Tulsan,
an,Utica , Utican,
an,Valencia , Valencian,
an,Vilnius , Vilnian,
ian,Yuma , Yumian,
ian,Artsakh , Artsakhian,
ian,Azerbaijan , Azerbaijanians,
ian,Bahamas , Bahamian,
ian,Barbados , Barbadians,
ian,Belarus , Belarusian,
ian,Belgium , Belgian,
ian,Brazil , Brazilian,
ian,Cameroon , Cameroonian,
ian,Cayman Islands , Caymanian,
ian,Chad , Chadian,
ian,Comoros , Comorian,
ian,Ecuador , Ecuadorian,
ian,Egypt , Egyptian,
ian,Ghana , Ghanaian,
ian,Gibraltar , Gibraltarian,
ian,Grenada , Grenadian,
ian,Iran , Iranian,
ian,Italy , Italian,
ian,Jordan , Jordanian,
ian,Maldives , Maldivian,
ian,Palestine , Palestinian,
ian,Peru , Peruvian,
ian,Saint Vincent , Vincentian,
ian,Trinidad and Tobago , Trinidadian,
ian,Ukraine , Ukrainian,
ian,Aarhus , Aarhusian,
ian,Alabama , Alabamian,
ian,Argyll , Argathelian,
ian,Athens , Athenian,
ian,Ayeyarwady, Ayeyarwadian,
ian,Banat , Banatian,
ian,Ballarat , Ballaratian,
ian,Bareilly , Bareillia,
ian,Bengaluru , Banglorean,
ian,Banten , Bantenian,
ian,Belgrade , Belgradian,
ian,Bermuda , Bermudian,
ian,Blackburn , Blackburnian,
ian,Blackpool , Blackpudlian,
ian,Bangkok , Bangkokian,
ian,Boston , Bostonian,
ian,Bracknell , Bracknellian,
ian,Bradford , Bradfordian,
ian,Brighton , Brightonian,
ian,Brisbane , Brisbanian,
ian,Bukovina , Bukovinia,
ian,Burgundy , Burgundian,
ian,Calgary , Calgarian,
ian,Canary, Canarian,
ian,Canterbury, Cantabrian,
ian,Cape Town ,Capetonian,
ian,Castile , Castilian,
ian,Catalonia , Catalonian,
ian,Cedar Rapids , Cedar Rapidian,
ian,Chelmsford , Chelmsfordian,
ian,Chester , Cestrian,
ian,Chin State , Chinian,
ian,Chittagong , Chittagonian,
ian,Christchurch , Christchurchian,
ian,Cirebon , Cirebonian,
ian,Corinth , Corinthian,
ian,Darwin , Darwinian,
ian,Dayton , Daytonian,
ian,Devon , Devonian,
ian,Duluth , Duluthian,
ian,Edmonton , Edmontonian,
ian,Fort Worth , Fort Worthian,
ian,Fredericton , Frederictonian,
ian,Greenville , Greenvillian,
ian,Hamilton , Hamiltonian,
ian,Harrow , Harrovian,
ian,Hartlepool , Hartlepudlian,
ian,Hereford , Herefordian,
ian,Herzegovina , Herzegovinian,
ian,Hesse , Hessian,
ian,Houston , Houstonian,
ian, Scilly , Scillonian,
ian,Iowa City , Iowa Citian,
ian,Jessup , Jessupian,
ian,Kachin, Kachinian,
ian,Kansas City , Kansas Citian,
ian,Kingston , Kingstonian,
ian,Laguna , Lagunians,
ian,Lancashire , Lancastrian,
ian,Lancaster , Lancastrian,
ian,Lesbos , Lesbian,
ian,Lethbridge , Lethbridgian,
ian,Lexington , Lexingtonian,
ian,Louisville , Louisvillian,
ian,Madison , Madisonian,
ian,Madrid , Madrilenian,
ian,Maharashtra , Maharashtrians,
ian,McKinney , McKinnian,
ian,Melbourne , Melburnian,
ian,Memphis , Memphian,
ian,Michigan , Michiganians,
ian,Mobile, Mobilia,
ian,Nelson , Nelsonian,
ian,New Guinea , New Guinian,
ian,New Orleans , New Orleanian,
ian,North Carolina , North Carolinian,
ian,Paris , Parisian,
ian,Perlis , Perlisian,
ian,Perak , Perakian,
ian,Peterborough , Peterborian,
ian,Phoenix , Phoenician,
ian,Plymouth , Plymothian,
ian,Port Harcourt , Harcourtian,
ian,Podgorica , Podgorician,
ian,Prince George's County , Prince Georgian,
ian,Rivers State , Riverian,
ian,Rochdale , Rochdalian,
ian,Rockwall, Rockwallian,
ian,Rockwall County, Rockwallian,
ian,Saint Petersburg , Saint Petersburgians,
ian,Sarawak , Sarawakian,
ian,Saskatoon , Saskatonian,
ian,Savannah , Savannahian,
ian,Shrewsbury , Salopian,
ian,Sicily , Sicilian,
ian,Solihull , Silhillian,
ian,South Carolina , South Carolinian,
ian,Stockport , Stopfordian,
ian,Swindon , Swindonian,
ian,Tanintharyi, Tanintharian,
ian,Telford , Telfordian,
ian,Thrace , Thracian,
ian,Towcester , Towcestrian,
ian,Truro , Truronian,
ian,Tuban, Tubanian,
ian,Washington , Washingtonian,
ian,Wellington , Wellingtonian,
ian,Wilmington , Wilmingtonian,
ian,Yukon , Yukonian,
anian,Guam , Guamanian,
anian,Mawlamyine , Mawlamanian,
nian,Bendigo , Bendigonian,
nian,Buffalo , Buffalonian,
nian,Cork , Corkonian,
nian,Naga , Naganian,
nian,Panama , Panamanian,
nian,Sligo , Sligonian,
nian,Tampa , Tampanian,
nian,Tobago , Tobagonian,
nian,Toronto , Torontonian,
nian,Torquay , Torquinian,
nian,Wa , Wanian,
ine,Byzantium , Byzantine,
ine,Florence , Florentines,
ine,Gilbert Islands , Gilbertines,
ine,The Levant , Levantine,
ine,Montenegro , Montenegrin,
ine,Palatinate , Palatine,
ine,Philippines , Philippine,
ine,Philistia , Philistine,
in,Lucena , Lucenahin,
in,Tayabas , Tayabasin,
in,Lucban , Lucbanin,
in,Infanta , Infantahin,
in,Sariaya , Sariayahin,
in,Brgy. Isabang , Isabangin,
in,Brgy. Morong , Morongin,
ano,Bicol , Bicolano,
ano,Cebu , Cebuano,
ano,Belo Horizonte , Belo-horizontino,
ano,Caguas,Cagueno,
ano,Cainta , Cainteño,
ano,Cavite , Caviteño,
ano,Daraga , Daragueño,
ano,Davao City , Davaoeño,
ano,Iriga , Irigueño,
ano,Legazpi , Legazpeño,
ano,Ligao , Ligaoeño,
ano,Los Angeles , Angeleno,
ano,Masbate , Masbateño,
ano,San Pablo , San Pableño,
ano,São Paulo , Paulistano,
ano,Tabaco , Tabaqueño,
ano,Zamboanga City , Zamboangueño,
ite,Akron , Akronite,
ite,Andhra, Andhrite,
ite,Ann Arbor , Ann Arborite,
ite,Austin , Austinite,
ite,Bagansiapiapi , Bagansiapiapite,
ite,Baku , Bakuvite,
ite,Bergen County, Bergenite,
ite,Boulder , Boulderite,
ite,Bronx , Bronxite,
ite,Brooklyn , Brooklynite,
ite,Carson , Carsonite,
ite,Chennai , Chennaiite,
ite,Dallas , Dallasite,
ite,Decatur , Decaturite,
ite,Delhi , Delhite,
ite,"Denton, Texas ", Dentonite,
ite,Denver , Denverite,
ite,Dhaka , Dhakaites,
ite,Dubai , Dubaiite,
ite,Dunedin , Dunedinite,
ite,Durban , Durbanite,
ite,Erie, Erieite,
ite,Gaya , Gayaite,
ite,Guelph , Guelphite,
ite,Irmo, Irmite,
ite,Jerusalem , Jerusalemite,
ite,Karachi , Karachiite,
ite,Kweyol , Kweyolite,
ite,Labuan Bajo , Labuan Bajoite,
ite,Leicester , Leicesterit,
ite,Manhattan , Manhattanite,
ite,Mon State , Monite,
ite,Moscow , Muscovites,
ite,Montpelier, Montpelierite,
ite,Mumbai , Mumbaiite,
ite,New Hampshire , New Hampshirite,
ite,Norman, Normanite,
ite,Oban , Obanite,
ite,Odesa , Odesite,
ite,Pahang , Pahangite,
ite,Patna , Patnaite,
ite,Penang , Penangit,
ite,Perth , Perthites,
ite,Pullman , Pullmanite,
ite,Putney , Putneyite,
ite,Queens , Queensite,
ite,Reading , Readingite,
ite,Ruskin, Ruskinite,
ite,Seattle , Seattleite,
ite,Seoul , Seoulite,
ite,Shiloh , Shilonites,
ite,Shillong , Shillongite,
ite,Smyrna, Smynit,
ite,Spokane , Spokanite,
ite,Sydney , Sydneyites,
ite,Telangana, Telanganite,
ite,Tokyo , Tokyoite,
ite,Vancouver , Vancouverite,
ite,Vizag , Vizagite,
ite,Warangal , Warangalite,
ite,Wenham, Wenhamite,
ite,Westchester County, Westchesterite,
ite,Whittier, Whittierite,
ite,Winston-Salem , Winston-Salemite,
ite,Wrexham , Wrexhamite,
ite,Wyoming , Wyomingite,
ite,Yangon , Yangonite,
er,Amsterdam , Amsterdammer,
er,Auckland , Aucklander,
er,Beijing , Beijinger,
er,Bergen , Bergener,
er,Berlin , Berliner,
er,Bucharest , Bucharester,
er,Budapest , Budapester,
er,Cleveland , Clevelander,
er,Cook Islands , Cook Islander,
er,Copenhagen , Copenhagener,
er,Detroit , Detroiter,
er,Dublin , Dubliner,
er,Dresden , Dresdener,
er,Fife , Fifer,
er,Frankfurt , Frankfurter,
er,Greenland , Greenlanders,
er,Hamburg , Hamburger,
er,Hannover , Hannoveraner,
er,Hong Kong , Hongkonger,
er,Iceland , Icelanders,
er,Kosovo, Kosovars,
er,Leeds , Loiner,
er,Leipzig , Leipziger,
er,Liechtenstein , Liechtensteiner,
er,London , Londoner,
er,Lorraine , Lorrainer,
er,Luxembourg , Luxembourger,
er,Maine , Mainer,
er,Montreal , Montrealer,
er,Netherlands , Netherlanders,
er,New Brunswick , New Brunswicker,
er,New England , New Englander,
er,New York , New Yorker,
er,New Zealand , New Zealanders,
er,Newfoundland , Newfoundlander,
er,Oakland , Oaklander,
er,Pangkal Pinang , Pangkalpinanger,
er,Pittsburgh , Pittsburgher,
er,Prague , Praguer,
er,Prince Edward Island , Prince Edward Islander,
er,Puntland , Puntlander,
er,Quebec , Quebecker,
er,Queensland , Queenslander,
er,Rhineland , Rhinelander,
er,Rhode Island , Rhode Islander,
er,Rotterdam , Rotterdammer,
er,Saigon , Saigoner,
er,Solomon Islands , Solomon Islander,
er,Stockholm , Stockholmer,
er,Stuttgart , Stuttgarter,
er,Tallinn , Tallinner,
er,Vermont , Vermonter,
er,Winnipeg , Winnipegger,
er,Yellowknife , Yellowknifer,
er,York (UK) , Yorker,
er,Zurich , Zuricher,
ish,Åland ,Ålandish,
ish,"Britain, Great Britain and United Kingdom ",British,
ish,Cornwall ,Cornish,
ish,Denmark ,Danish,
ish,England ,English,
ish,Finland ,Finnish,
ish,Flanders ,Flemish,
ish,Ireland ,Irish,
ish,Kent ,Kentish,
ish,Kurdistan ,Kurdish,
ish,Lombok ,Lombokish,
ish,Niger ,Northern Irish,
ish,Northern Ireland ,Northern Irish,
ish,Poland ,Polish,
ish,Scotland ,Scottish,
ish,Spain ,Spanish,
ish,Sweden ,Swedish,
ish,Wales ,Welsh,
ene,Cairo , Cairene,
ene,Cyrenaica , Cyrene,
ene,Damascus , Damascene,
ene,Nazareth , Nazarene,
ene,Palmyra , Palmyrene,
ian,Reading , Readingensian,
ard,Savoy , Savoyard,
ard,Montagne , Montagnard,
ard,Shafter, Shaftard,
ese,Abruzzo , Abruzzese,
ese,Ajman , Ajmanese,
ese,Aragon , Aragonese,
ese,Aceh , Acehnese,
ese,Assam , Assamese,
ese,Bali , Balinese,
ese,Bengal , Bengalese,
ese,Benin , Beninese ,
ese,Bern , Bernese,
ese,Bearn , Bearnese,
ese,Bhutan , Bhutanese,
ese,Bologna , Bolognese,
ese,Burkina Faso , Burkinese ,
ese,Calabria , Calabrese,
ese,Cirebon, Cirebonese,
ese,China , Chinese,
ese,Congo , Congolese,
ese,Da Lat , Dalatese,
ese,East Timor , East Timorese,
ese,Faroe Islands , Faroese,
nese,Emirate of Fujairah , Fujairahnese,
ese,Gabon , Gabonese ,
ese,Genoa ,Genoese,
ese,Grenadines , Grenadinese,
ese,Guangdong, Cantonese,
ese,Guyana , Guyanese,
ese,Hainan , Hainanese,
ese,Hunan , Hunanese,
ese,Japan , Japanese ,
ese,Kawthaung , Kawthaunggese,
ese,Kelantan , Kelantanese,
ese,Kokang , Kokanggese,
ese,Lebanon , Lebanese,
ese,Leon , Leonese,
nese,Macao , Macanese,
ese,Malta , Maltese,
ese,Marshall Islands , Marshallese,
ese,Milan , Milanese,
ese,Burma , Burmese ,
ese,Navarre , Navarrese,
nese,Negeri Sembilan , Negeri Sembilanese,
ese,Pa Laung , Palaunggese,
ese,Pa'O , Paonese,
ese,Piedmont , Piedmontese,
ese,Portugal , Portuguese,
nese,Rakhine State , Arakanese,
nese,Ras Al Khaimah , Khaimahnese,
nese,Saba , Sabanese,
ese,Sagaing Region , Sagainggese,
nese,San Marino , Sammarinese,
ese,Sark , Sarkese,
ese,Sassari , Sassarese,
ese,Senegal , Senegalese,
nese,Shan State , Shanese,
ese,Shanghai , Shanghaiese,
nese,Emirate of Sharjah , Sharjahnese,
ese,Siam , Siamese,
ese,Sikkim , Sikkimese,
ese,Suriname , Surinamese,
ese,Taiwan , Taiwanese,
ese,Taunggyi , Taunggese,
ese,Tegal, Tegalese,
ese,Togo , Togolese,
ese,Turin , Torinese,
ese,Umm Al Quwain , Quwainese,
ese,Vienna , Viennese,
ese,Vietnam , Vietnamese,
i,Bahrain ,Bahraini,
i,Bangladesh , Bangladeshi,
i,Iraq ,Iraqi,
i,Kazakhstan ,Kazakhstani,
i,Kuwait ,Kuwaiti,
i,Kyrgyzstan ,Kyrgyzstani,
i,Nepal ,Nepali,
i,Oman ,Omani,
i,Qatar ,Qatari,
i,Tajikistan ,Tajikistani,
i,Thailand ,Thai,
i,Turkmenistan ,Turkmenistani,
i,United Arab Emirates ,Emirati,
i,Uzbekistan ,Uzbekistani,
i,Yemen ,Yemeni,
i,Allahabad ,Allahabadi,
i,Azawad ,Azawadi,
i,Azra ,Azragi,
i,Balochistan ,Balochistani,
i,Barisal ,Barisali,
i,Beirut ,Beiruti,
i,Bangladesh,Bengali,
i,Bharat ,Bharatiy,
i,Bihar ,Bihar,
i,Dagestan ,Dagestan,
i,Faridabad ,Faridabad,
i,Gujarat ,Gujarat,
i,Hazara ,Hazaragi,
i,Hyderabad ,Hyderabadi,
i,Kumaon ,Kumaon,
i,Lahore ,Lahori,
i,Punjab ,Punjabi,
i,Rajasthan ,Rajasthani,
i,Rangpur ,Rangpuri,
i,Sindh ,Sindhi,
i,Sylhet ,Sylheti,
i,Yorkshire ,Yorkie,
ot,Chios ,Chiot,
ot,Corfu ,Corfiot,
ot,Cyprus ,Cypriot,
iote,Phanar ,Phanariote,
asque,Bergamo , Bergamasque,
asque,Menton , Mentonasque,
asque,Basque Country , Basque,
asque,Sanremo , Sanremasque,
gian,Dawei ,Dawegian,
gian,Galloway ,Galwegian,
gian,Magway Region ,Magwegian,
gian,Norway ,Norwegian,
gian,"Poway, CA",Powegian,
onian,Connacht ,Connachtonian,
onian,Halifax ,Haligonian,
onian,Lesotho ,Lesothonian,
onian,Newport ,Newportonian,
vian,Oxford ,Oxonian,
vian,Barrow-in-Furness ,Barrovian,
vian,Moose Jaw ,Moose Javian,
vian,Oamaru ,Oamaruvian,
vian,Oslo ,Oslovian,
vian,Warsaw ,Warsovian,
vian,Waterloo ,Waterluvian,
vian,Wythenshawe ,Wythenshavian,
ois,Seychelles , Seychellois,
anes,Guayana,guayanes,Venezuela
ian,Yanggok,Yangkokian,South Korea
ano,Paranaque,Paranaqueano,Philippines
i,Sialkot,Sialkoti,Pakistan
eano,Makati,Makiteano,Philippines
an,Baton Rouge,Baton Rougean,United States
er,New Haven,New Havener,United States
eano,Muntinlupa,Muntinlupeano,Philippines
eano,Calamba,Calambeano,Philippines
eano,Pasay,Pasayeano,Philippines
eano,Marikina,Marikeano,Philippines
an,Santa Fe,Santa Fean,Argentina
ano,San-Pedro,San Pedrano,United States
es,Cumana,Cumanes,Venezuela
i,Malerkotla,Malerkotli,India
ense,Montes Claros,Montes-clarense,Brazil
ense,Vitoria,vitoriense,Brazil
oit,Malmo,Malmoit,Sweden
ero,Holguin,Holguinero,Cuba
i,Ganca,Gancai,Azerbaijan
er,Fort Wayne,Fort Wayner,United States
ano,Camaguey,Camagueyano,Cuba
an,Timisoara,timisorean,Romania
ero,Tehuacan,Tehuacanero,Mexico
ero,Santa Ana,Santanero ,United States
i,Nizamabad,Nizamabadi,India
ense,Ponta Grossa,pontagrossense,Brazil
wi,Raqqa,Raqqawi,Syria
ean,Brasov,brasovean,Romania
ian,Setif,Setifian,Algeria
ense,Punto Fijo,Puntofijense,Venezuela
ense,Varzea Grande,varzeagrandense,Brazil
ense,Camacari,camacariense,Brazil
er,Shreveport,Shreveporter,United States
aner,Aarhus,Aarhusianer,Denmark
ean,Constanta,constantean,Romania
an,Temuco,Temucan,Chile
ite,Plano,Planoite,United States
es,Gijon,gijones,Spain
ense,Maraba,marabaense,Brazil
ite,Lubbock,Lubbockite,United States
ian,Etawah,Etawian,India
ian,Puducherry,Puducherrian,India
n,Peoria,Peorian,United States
eno,Turmero,Turmereno,Venezuela
ian,McKinney,McKinnian,United States
ense,Parana,Paranaense,Argentina
i,Gyor,Gyori,Hungary
ino,Tarapoto,Tarapotino,Peru
i,Szeged,szegedi,Hungary
ense,Viamao,viamonense,Brazil
eano,Envigado,Envigadeano,Colombia
ense,Fresnillo,Fresnillense,Mexico
ian,Evansville,Evansvillian,United States
ais,Rennes,Rennais,France
ense,Chapeco,Chapecoense,Brazil
ian,Tiptur,Tipturians,India
enc,Sabadell,Sabadellenc,Spain
eano,Tulua,Tulueano,Colombia
ian,Appleton,Appletonian,United States
ano,Sete Lagoas,sete-lagoano,Brazil
eano,Mostoles,Mostoleano,Spain
ano,Padova,Padovano,Italy
ian,Kalamazoo,Kalamazooian,United States
n,Arica,Arican,Chile
ite,Khammam,Khammamite,India
eano,Zipaquira,Zipaquireano,Colombia
eano,Acarigua,Acarigueano,Venezuela
ian,Grand Prairie,Grand Prairian,United States
eano,Tanauan,Tanaueano,Philippines
ian,Richmond Hill,Richmond Hillian,Canada
tian,Florencia,FlorentineItalian,Colombia
i,Kecskemet,kecskemeti,Hungary
eano,Guatire,Guatireano,Venezuela
ian,Barakpur,Barrakpurian,India
eano,Dagupan,Dagupeano,Philippines
ian,Albacete,Albacetian,Spain
ian,Barrie,Barrian,Canada
er,Cape Coast,Cape Coaster,Ghana
i,Medinipur,Medinipuri,India
iya,Jamalpur,Jamalpuriya,Bangladesh
i,Baramula,Baramulli,India
ite,Palmdale,Palmdalite,United States
eano,Tuguegarao,Tuguegaraoeano,Philippines
ense,Chillan,Chillanense,Chile
an,San Marcos,San Marcoan,Costa Rica
ite,Andong,Andongite,South Korea
ais,Dijon,Dijonnais,France
aar,Apeldoorn,Apeldoornaar,Netherlands
ense,Ibirite,ibiriteense,Brazil
i,Veraval,Veravali,India
ian,Harrow,Harrovian,United Kingdom
ian,Champaign,Champaignian,United States
ese,Araguaina,Araguainese,Brazil
n,Valdivia,Valdivian,Chile
ian,Lake Charles,Lake Charlesian,United States
ian,Naperville,Napervillian,United States
ian,Sibiu,sibian,Romania
ian,Osorno,Osornian,Chile
ian,Binghamton,Binghamtonian,United States
an,Topeka,Topekan,United States
eano,Yopal,Yopaleano,Colombia
i,Mandsaur,Mandsauri,India
n,Las Cruces,Las Crucen,United States
i,Pecs,pecsi,Hungary
ano,Dumaguete,Dumagueteano,Philippines
i,Birganj,Birganji,Nepal
an,Curico,Curican,Chile
ean,Targu-Mures,targumuresean,Romania
ino,Conchali,Conchalino,Chile
eano,Daraga,Daragueano,Philippines
ni,Mataro,Mataroni,Spain
an,Odessa,Odesan,United States
ense,Teofilo Otoni,teofilo-otonense,Brazil
i,Veszprem,veszpremi,Hungary
kar,Gondia,Gondiakar,India
an,Palakkad,Palakkadan,India
eano,Girardot,Girardoteano,Colombia
wasi,Mothihari,Motihariwasi,India
i,Hoshangabad,Hoshangabadi,India
ense,Araras,Ararense,Brazil
ano,Mosquera,Mosqueruno,Colombia
are,Orebro,Orebroare,Sweden
eano,Guasdualito,Guasdualiteano,Venezuela
i,Salmas,Salmasi,Iran
ense,Duitama,Duitamense,Colombia
ense,Barbacena,Barbacenense,Brazil
ano,Ponce,Ponceano,Puerto Rico
tsi,Gyumri,Gyumretsi,Armenia
ense,Gapan,Gapanense,Philippines
ero,Maicao,Maicaero,Colombia
ense,Barretos,Barretense,Brazil
ense,Apucarana,Apucaranense,Brazil
ense,Alcobendas,Alcobendense,Spain
i,Sopur,Sopori,India
ian,Duluth,Duluthian,United States
ino,San Rafael,San Rafaelino,Argentina
er,Round Rock,Round Rocker,United States
ano,Piedecuesta,Piedecuestano,Colombia
ino,Coronel,Coronelino,Chile
ak,Durres,Durrsak,Albania
ero,Turbaco,Turbaquero,Colombia
eano,Sogamoso,Sogamoseano,Colombia
er,Kristiansand,Kristiansander,Norway
er,Alkmaar,Alkmaarder,Netherlands
ite,Ioannina,Ioannite ,Greece
in,Tayabas,Tayabasin,Philippines
ni,Utica,Utican,United States
i,Kaposvar,kaposvari,Hungary
n,Costa Mesa,Costa Mesan,United States
an,Chico,Chicoan,United States
anon,Baybay,Baybayanon,Philippines
ense,Colatina,colatinense,Brazil
i,Firozpur,Firozpuri,India
er,Drammen,Drammenser,Norway
ano,Itabira,itabirano,Brazil
ense,Carmona,Carmonense,Philippines
naar,Delft,Delftenaar,Netherlands
ense,Telde,Teldense,Spain
eano,San German,Sangermeano,Puerto Rico
ense,Igarassu,Igarassuense,Brazil
en,Deventer,Deventernaren,Netherlands
an,Geita,Geitan,Tanzania
no,Jinotega,Jinotegano,Nicaragua
i,Sopron,soproni,Hungary
on,Catarman,Catarmanon,Philippines
ino,Tumbes,Tumbesino,Peru
ais,Leogane,Leoganais,Haiti
i,Netrakona,Netrokoni,Bangladesh
an,San Leandro,San Leandran,United States
ense,Babahoyo,Babahoyense,Ecuador
esi,Catanzaro,Catanzaresi,Italy
ense,Campo Formoso,campo-formosense,Brazil
ian,Handeni,Handenian,Tanzania
ano,Yauco,Yaucano,Puerto Rico
ense,Tamazunchale,Tamazunchalense,Mexico
ac,Pancevo,Pancevac,Serbia
on,Borongan,Boronganon,Philippines
i,Zinjibar,Zanzibari,Yemen
an,South San Francisco,South San Franciscan,United States
ian,Barrow,Barrovian,United Kingdom
ano,San Pedro,San Pedrano,Mexico
er,Oak Park,Oak Parker,United States
n,Covina,Covinan,United States
enc,San Feliu de Llobregat,Sanfeliuenc,Spain
karan,Varkkallai,Varkalakkaran,India
karan,Paravurkambolam, Paravurkkaran,India
eano,San Roque,Sanroqueano,Philippines
esi,Sant'Antimo,Santantimesi,Italy
ian,Park Ridge,Park Ridgian,United States
enc,Premia de Mar,Premianenc,Spain
